@title:Episode 125 - Garden of Salvation weapons drop 
@description:Reprised weapons from the Garden of Salvation raid, with the Photoinhibition origin trait

// Accrued Redemption (first-choice PvE)
// Elastic String, Straight Fletching, Archer's Tempo, Kinetic Tremors
//notes:Inspired by @PodvsEnemies episode 125 from 3 December 2024 (https://open.spotify.com/episode/0unzzecMfqDsL3nxHGSQsp?si=d40055092caa4fa1) with @CourtProjects, @Saint_Kabr and @ImpetusAlways (PvE PvE-Boss PvE-Major PvE-Champion PvE-EndGame PvE-God M+KB Controller): First-choice PvE pick for burst damage to bulkier Minor adds, Majors and Champions in general, and end-game underleveled content. Accrued Redemption's trait perk pool is mostly PvP-oriented, but there's still an excellent roll to shape for use against Champions. At base the stats are solid - Draw Time is standard 0.684ms, 43 Stability equates to a Perfect Draw time of 0.43s, 55 Handling is a 0.58s ready, 0.43s ADS and 0.44s stow time, and 40 Reload Speed is a 0.73s reload. There's no reason to look far beyond the standard Elastic String as the bowstring perk and Straight Fletching as the arrow perk to reduce the draw time and recover the accuracy malus. The trait perk combination of Archer's Tempo and Kinetic Tremors will make this a great anti-champion weapon with the matching bow Artifact mod. Kinetic Tremors has the second highest combatant damage multiplier on bows and, when enhanced, only needs two hits to proc, so is just free damage against champions once stunned, as well as clearing ads in the area. The Photoinhibition origin trait is very strong for PvE - a ×1.343 damage boost against barriers and elemental shields and ×1.216 against combatant overshields plus disorienting your target and, if matched with the shield type adds nearby too for 7s. Recommended MW: Draw Time, with a Quick Access Sling mod or, when masterworked, Synergy to create power orbs.|tags:PvE PvE-Boss PvE-Major PvE-Champion PvE-EndGame PvE-God M+KB Controller
dimwishlist:item=3621336854&perks=2801223209,3827198035,201365942,3891536761

// Sacred Provenance (first-choice PvE)
// Arrowhead Brake, (High-Caliber Rounds, Armor-Piercing Rounds), Stats for All, One for All
//notes:Inspired by @PodvsEnemies episode 125 from 3 December 2024 (https://open.spotify.com/episode/0unzzecMfqDsL3nxHGSQsp?si=d40055092caa4fa1) with @CourtProjects, @Saint_Kabr and @ImpetusAlways (PvE PvE-Minor PvE-Champion PvE-EndGame PvE-God M+KB Controller): First-choice PvE pick for add-clearing minor enemies, Majors and Champions in general, and end-game underleveled content. Although the Sacred Provenance Aggressive Burst subfamily isn't top tier for pulse rifle PvE damage, it wouldn't take too much to make them shine so it's worth keeping a good roll, just in case. At base the stats are good - 69 Range equates to 38.12m when ADS and 21.18m hipfire, 24 Handling is a 0.47s ready, 0.41s ADS and 0.46s stow time, and 36 Reload Speed is a 2.12s reload. Arrowhead Brake as the barrel perk deals with the wonky Recoil Direction of 70 and adds Handling. High-Caliber Rounds adds useful flinch or Armor-Piercing Rounds works well to the origin trait against shielded enemies. As the trait perk pairing the SOFA (Stats for All + One for All) roll is always worthwhile, filling in gunfeel stats and boosting damage by ×1.35 for 10s. The Photoinhibition origin trait is very strong for PvE - a ×1.343 damage boost against barriers and elemental shields and ×1.216 against combatant overshields plus disorienting your target and, if matched with the shield type adds nearby too for 7s. Recommended MW: Handling, with a Backup Mag mod or, when masterworked, Synergy to create power orbs or, when the artifact mod's around, Stunloader.|tags:PvE PvE-Minor PvE-Champion PvE-EndGame PvE-God M+KB Controller
dimwishlist:item=2241507890&perks=839105230,1561002382,1583705720,4049631843
dimwishlist:item=2241507890&perks=839105230,1968497646,1583705720,4049631843

// Sacred Provenance (first-choice PvE)
// Arrowhead Brake, (High-Caliber Rounds, Armor-Piercing Rounds), Rapid Hit, Kinetic Tremors
//notes:Inspired by @PodvsEnemies episode 125 from 3 December 2024 (https://open.spotify.com/episode/0unzzecMfqDsL3nxHGSQsp?si=d40055092caa4fa1) with @CourtProjects, @Saint_Kabr and @ImpetusAlways (PvE PvE-Boss PvE-Major PvE-Champion PvE-EndGame PvE-God M+KB Controller): First-choice PvE pick for add-clearing minor enemies, Majors and Champions in general, and end-game underleveled content. Although the Sacred Provenance Aggressive Burst subfamily isn't top tier for pulse rifle PvE damage, it wouldn't take too much to make them shine so it's worth keeping a good roll, just in case. At base the stats are good - 69 Range equates to 38.12m when ADS and 21.18m hipfire, 24 Handling is a 0.47s ready, 0.41s ADS and 0.46s stow time, and 36 Reload Speed is a 2.12s reload. Arrowhead Brake as the barrel perk deals with the wonky Recoil Direction of 70 and adds Handling. High-Caliber Rounds adds useful flinch or Armor-Piercing Rounds works well to the origin trait against shielded enemies. The trait perk combination of Rapid Hit and Kinetic Tremors will make this a great anti-champion weapon with the matching Artifact mod. Rapid Hit will make it easier to keep your reticule on target, and Kinetic Tremors is just free damage against champions once they've been stunned, as well as clearing ads in the area. The Photoinhibition origin trait is very strong for PvE - a ×1.343 damage boost against barriers and elemental shields and ×1.216 against combatant overshields plus disorienting your target and, if matched with the shield type adds nearby too for 7s. Recommended MW: Handling, with a Backup Mag mod or, when masterworked, Synergy to create power orbs or, when the artifact mod's around, Stunloader.|tags:PvE PvE-Boss PvE-Major PvE-Champion PvE-EndGame PvE-God M+KB Controller
dimwishlist:item=2241507890&perks=839105230,1561002382,247725512,3891536761
dimwishlist:item=2241507890&perks=839105230,1968497646,247725512,3891536761

// Sacred Provenance (first-choice PvE)
// Arrowhead Brake, (High-Caliber Rounds, Armor-Piercing Rounds), Demolitionist, (Frenzy, Desperate Measures)
//notes:Inspired by @PodvsEnemies episode 125 from 3 December 2024 (https://open.spotify.com/episode/0unzzecMfqDsL3nxHGSQsp?si=d40055092caa4fa1) with @CourtProjects, @Saint_Kabr and @ImpetusAlways (PvE PvE-Minor PvE-EndGame PvE-God M+KB Controller): First-choice PvE pick for add-clearing minor enemies in general, and end-game underleveled content. Although the Sacred Provenance Aggressive Burst subfamily isn't top tier for pulse rifle PvE damage, it wouldn't take too much to make them shine so it's worth keeping a good roll, just in case. At base the stats are good - 69 Range equates to 38.12m when ADS and 21.18m hipfire, 24 Handling is a 0.47s ready, 0.41s ADS and 0.46s stow time, and 36 Reload Speed is a 2.12s reload. Arrowhead Brake as the barrel perk deals with the wonky Recoil Direction of 70 and adds Handling. High-Caliber Rounds adds useful flinch or Armor-Piercing Rounds works well to the origin trait against shielded enemies. For a general purpose roll, Demolitionist in the first trait perk column is always fun and can be paired in the second with Frenzy, which maxes out the stat gaps nicely as well as boosting damage by ×1.15, or Desperate Measures for up to ×1.3 damage by using all your extra grenades. The Photoinhibition origin trait is very strong for PvE - a ×1.343 damage boost against barriers and elemental shields and ×1.216 against combatant overshields plus disorienting your target and, if matched with the shield type adds nearby too for 7s. Recommended MW: Handling or Stability, with a Backup Mag mod or, when masterworked, Synergy to create power orbs or, when the artifact mod's around, Stunloader.|tags:PvE PvE-Minor PvE-EndGame PvE-God M+KB Controller
dimwishlist:item=2241507890&perks=839105230,1561002382,3523296417,4104185692
dimwishlist:item=2241507890&perks=839105230,1968497646,3523296417,4104185692
dimwishlist:item=2241507890&perks=839105230,1561002382,3523296417,2109543898
dimwishlist:item=2241507890&perks=839105230,1968497646,3523296417,2109543898

// Ancient Gospel (first-choice PvE)
// (Smallbore, Fluted Barrel, Corkscrew Rifling), (Tactical mag, Alloy Mag, Flared Magwell, Accurized Rounds), Destabilizing Rounds, Explosive Payload
//notes:Inspired by @PodvsEnemies episode 125 from 3 December 2024 (https://open.spotify.com/episode/0unzzecMfqDsL3nxHGSQsp?si=d40055092caa4fa1) with @CourtProjects, @Saint_Kabr and @ImpetusAlways (PvE PvE-Minor PvE-EndGame PvE-God M+KB Controller): First-choice PvE pick for add-clearing minor enemies in general, and end-game underleveled content. Ancient Gospel returns as, for some reason, a void adaptive hand cannon this time with a whole load of PvP trait perks, but not much for PvE fans. At base the stats are solid - 41 Range equates to 29.54m when ADS and 19.69m hipfire, 46 Handling is a 0.34s ready, 0.26s ADS and 0.38s stow time, and 43 Reload Speed is a 2.69s reload. Recoil Direction is a perfect 100. Use the barrel and mag perks to round out your preferred stats - you might lean into Range or Handling for the barrel, and Range or Reload Speed with the magazine. There's really only one PvE trait perk roll pairing that works - Destabilizing Rounds and Explosive Payload - also useful against Overload Champions in particular, needing only two shots to disrupt when the artifact mod is around. The Photoinhibition origin trait is very strong for PvE - a ×1.343 damage boost against barriers and elemental shields and ×1.216 against combatant overshields plus disorienting your target and, if matched with the shield type adds nearby too for 7s. Recommended MW: Any, depending on personal preference, with a Backup Mag mod or, when masterworked, Synergy to create Void Breaches or, when the artifact mod's around, Stunloader.|tags:PvE PvE-Minor PvE-EndGame PvE-God M+KB Controller
dimwishlist:item=963574173&perks=1482024992,106909392,2048641572,3038247973
dimwishlist:item=963574173&perks=1840239774,106909392,2048641572,3038247973
dimwishlist:item=963574173&perks=4090651448,106909392,2048641572,3038247973
dimwishlist:item=963574173&perks=1482024992,1431678320,2048641572,3038247973
dimwishlist:item=963574173&perks=1840239774,1431678320,2048641572,3038247973
dimwishlist:item=963574173&perks=4090651448,1431678320,2048641572,3038247973
dimwishlist:item=963574173&perks=1482024992,3230963543,2048641572,3038247973
dimwishlist:item=963574173&perks=1840239774,3230963543,2048641572,3038247973
dimwishlist:item=963574173&perks=4090651448,3230963543,2048641572,3038247973
dimwishlist:item=963574173&perks=1482024992,3142289711,2048641572,3038247973
dimwishlist:item=963574173&perks=1840239774,3142289711,2048641572,3038247973
dimwishlist:item=963574173&perks=4090651448,3142289711,2048641572,3038247973

// Omniscient Eye (first-choice PvE)
// (Arrowhead Brake, Polygonal rifling), Tactical Mag, (Lead froom Gold, Fourth Time's the Charm, Envious Arsenal), (Vorpal Weapon, Precision Instrument)
//notes:Inspired by @PodvsEnemies episode 125 from 3 December 2024 (https://open.spotify.com/episode/0unzzecMfqDsL3nxHGSQsp?si=d40055092caa4fa1) with @CourtProjects, @Saint_Kabr and @ImpetusAlways (PvE PvE-Boss PvE-BossSpec PvE-EndGame PvE-God M+KB Controller): First-choice PvE pick for special weapon sustained damage against bosses in general, and end-game underleveled content. Omniscient Eye is a decent choice as a backup damage option against bosses once you're out of heavy ammo. At base the stats are good - 70 Handling equates to a 0.32s ready, 0.37s ADS and 0.29s stow time, and 67 Reload Speed is a 2.74s reload (2.19s with the rapid-fire reload boost is you're reloading an empty magazine). Recoil Direction is a vertical, if loose, 55, magazine size is 6 (max 7) and with 0/1/2/3 Reserves mods you have total ammo of 28/30/33/34 (max 41). To land shots, a little extra control is nice - Arrowhead Brake will tighten up the recoil or Polygonal Rifling will reduce bounce as the barrel perk. Tactical Mag will maximise the magazine size and increase total ammo to near maximum levels. As trait perks, in the first column, Lead From Gold improves with your ammo economy, Fourth Time's the Charm will hit 11 crits without reloading assuming a mag of 7 shots, or Envious Arsenal is useful when enhanced to maximise reserves (the main perk probably won't be useful as you'll likely have run out of heavy ammo so won't be able to proc the main perk). In the second column Vorpal Weapon offers a flat ×1.15 damage bonus against bosses or, for longer damage phases, Precision Instrument is ×1.2 damage for the rest of the magazine once you've hit 4 quick crits. The Photoinhibition origin trait is very strong for PvE - a ×1.343 damage boost against barriers and elemental shields and ×1.216 against combatant overshields plus disorienting your target and, if matched with the shield type adds nearby too for 7s. Recommended MW: Handling, with a Quick Access Sling mod.|tags:PvE PvE-Boss PvE-BossSpec PvE-EndGame PvE-God M+KB Controller
dimwishlist:item=147444292&perks=839105230,106909392,1556840489,1546637391
dimwishlist:item=147444292&perks=1392496348,106909392,1556840489,1546637391
dimwishlist:item=147444292&perks=839105230,106909392,1354429876,1546637391
dimwishlist:item=147444292&perks=1392496348,106909392,1354429876,1546637391
dimwishlist:item=147444292&perks=839105230,106909392,3987942396,1546637391
dimwishlist:item=147444292&perks=1392496348,106909392,3987942396,1546637391
dimwishlist:item=147444292&perks=839105230,106909392,1556840489,555281244
dimwishlist:item=147444292&perks=1392496348,106909392,1556840489,555281244
dimwishlist:item=147444292&perks=839105230,106909392,1354429876,555281244
dimwishlist:item=147444292&perks=1392496348,106909392,1354429876,555281244
dimwishlist:item=147444292&perks=839105230,106909392,3987942396,555281244
